game 1, tick 182: sent board, bot=S, enemy=S
game 1, tick 183: sent board, bot=S, enemy=S
game 1, tick 184: sent board, bot=S, enemy=S
game 1, tick 185: sent board, bot=S, enemy=S
game 1, tick 186: sent board, bot=S, enemy=S
game 1, tick 187: sent board, bot=S, enemy=S
game 1, tick 188: sent board, bot=S, enemy=S
game 1, tick 189: sent board, bot=S, enemy=S
game 1, tick 190: sent board, bot=S, enemy=S
game 1, tick 191: sent board, bot=S, enemy=S
game 1, tick 192: sent board, bot=S, enemy=S
game 1, tick 193: sent board, bot=S, enemy=S
game 1, tick 194: sent board, bot=S, enemy=S
game 1, tick 195: sent board, bot=S, enemy=S
game 1, tick 196: sent board, bot=S, enemy=S
game 1, tick 197: sent board, bot=S, enemy=S
game 1, tick 198: sent board, bot=S, enemy=S
game 1, tick 199: sent board, bot=S, enemy=S
game 1, tick 200: sent board, bot=S, enemy=S
game 1/200: 2-1
game 2, tick 1: sent board, bot=U, enemy=D
game 2, tick 2: sent board, bot=U, enemy=D
game 2, tick 3: sent board, bot=U, enemy=D
game 2, tick 4: sent board, bot=U, enemy=D
game 2, tick 5: sent board, bot=U, enemy=L
game 2, tick 6: sent board, bot=U, enemy=L
game 2, tick 7: sent board, bot=U, enemy=L
game 2, tick 8: sent board, bot=U, enemy=L
game 2, tick 9: sent board, bot=U, enemy=L
game 2, tick 10: sent board, bot=L, enemy=L
game 2, tick 11: sent board, bot=L, enemy=L
game 2, tick 12: sent board, bot=L, enemy=L
game 2, tick 13: sent board, bot=L, enemy=L
game 2, tick 14: sent board, bot=L, enemy=L
game 2, tick 15: sent board, bot=L, enemy=L
game 2, tick 16: sent board, bot=L, enemy=L
game 2, tick 17: sent board, bot=L, enemy=L
game 2, tick 18: sent board, bot=U, enemy=L
game 2, tick 19: sent board, bot=L, enemy=L
game 2, tick 20: sent board, bot=D, enemy=L
game 2, tick 21: sent board, bot=D, enemy=L
game 2, tick 22: sent board, bot=D, enemy=L
game 2, tick 23: sent board, bot=D, enemy=L
game 2, tick 24: sent board, bot=D, enemy=L
game 2, tick 25: sent board, bot=D, enemy=L
game 2, tick 26: sent board, bot=D, enemy=L
game 2, tick 27: sent board, bot=D, enemy=L
game 2, tick 28: sent board, bot=D, enemy=L
game 2, tick 29: sent board, bot=D, enemy=L
game 2, tick 30: sent board, bot=D, enemy=L
game 2, tick 31: sent board, bot=D, enemy=L
game 2, tick 32: sent board, bot=D, enemy=L
game 2, tick 33: sent board, bot=D, enemy=L
game 2, tick 34: sent board, bot=D, enemy=L
game 2, tick 35: sent board, bot=D, enemy=L
game 2, tick 36: sent board, bot=D, enemy=L
game 2, tick 37: sent board, bot=D, enemy=L
game 2, tick 38: sent board, bot=D, enemy=L
game 2, tick 39: sent board, bot=D, enemy=L
game 2, tick 40: sent board, bot=D, enemy=L
game 2, tick 41: sent board, bot=D, enemy=L
game 2, tick 42: sent board, bot=D, enemy=L
game 2, tick 43: sent board, bot=D, enemy=L
game 2, tick 44: sent board, bot=D, enemy=L
game 2, tick 45: sent board, bot=D, enemy=L
game 2, tick 46: sent board, bot=D, enemy=L
game 2, tick 47: sent board, bot=D, enemy=L
game 2, tick 48: sent board, bot=D, enemy=L
game 2, tick 49: sent board, bot=D, enemy=L
game 2, tick 50: sent board, bot=D, enemy=L
game 2, tick 51: sent board, bot=D, enemy=L
game 2, tick 52: sent board, bot=D, enemy=L
game 2, tick 53: sent board, bot=D, enemy=L
game 2, tick 54: sent board, bot=D, enemy=L
game 2, tick 55: sent board, bot=D, enemy=L
game 2, tick 56: sent board, bot=D, enemy=L
game 2, tick 57: sent board, bot=D, enemy=L
game 2, tick 58: sent board, bot=D, enemy=L
game 2, tick 59: sent board, bot=D, enemy=L
game 2, tick 60: sent board, bot=D, enemy=L
game 2, tick 61: sent board, bot=D, enemy=L
game 2, tick 62: sent board, bot=D, enemy=L
game 2, tick 63: sent board, bot=D, enemy=L
game 2, tick 64: sent board, bot=D, enemy=L
game 2, tick 65: sent board, bot=D, enemy=L
game 2, tick 66: sent board, bot=D, enemy=L
game 2, tick 67: sent board, bot=D, enemy=L
game 2, tick 68: sent board, bot=D, enemy=L
game 2, tick 69: sent board, bot=D, enemy=L
game 2, tick 70: sent board, bot=D, enemy=L
game 2, tick 71: sent board, bot=D, enemy=L
game 2, tick 72: sent board, bot=D, enemy=L
game 2, tick 73: sent board, bot=D, enemy=L
game 2, tick 74: sent board, bot=D, enemy=L
game 2, tick 75: sent board, bot=D, enemy=L
game 2, tick 76: sent board, bot=D, enemy=L
game 2, tick 77: sent board, bot=D, enemy=L
game 2, tick 78: sent board, bot=D, enemy=L
game 2, tick 79: sent board, bot=D, enemy=L
game 2, tick 80: sent board, bot=D, enemy=L
game 2, tick 81: sent board, bot=D, enemy=L
game 2, tick 82: sent board, bot=D, enemy=L
game 2, tick 83: sent board, bot=D, enemy=L
game 2, tick 84: sent board, bot=D, enemy=L
game 2, tick 85: sent board, bot=D, enemy=L
game 2, tick 86: sent board, bot=D, enemy=L
game 2, tick 87: sent board, bot=D, enemy=L
game 2, tick 88: sent board, bot=D, enemy=L
game 2, tick 89: sent board, bot=D, enemy=L
game 2, tick 90: sent board, bot=D, enemy=L
game 2, tick 91: sent board, bot=D, enemy=L
game 2, tick 92: sent board, bot=D, enemy=L
game 2, tick 93: sent board, bot=D, enemy=L
game 2, tick 94: sent board, bot=D, enemy=L
game 2, tick 95: sent board, bot=D, enemy=L
game 2, tick 96: sent board, bot=D, enemy=L
game 2, tick 97: sent board, bot=D, enemy=L
game 2, tick 98: sent board, bot=D, enemy=L
